"fips","state","county","week_start_date","eviction_filings"
"47037","tennessee","davidson","2018-08-27","136"
"47037","tennessee","davidson","2018-09-03","318"
"47037","tennessee","davidson","2018-09-10","116"
"47037","tennessee","davidson","2018-09-17","312"
"47037","tennessee","davidson","2018-09-24","198"
"47037","tennessee","davidson","2018-10-01","287"
"47037","tennessee","davidson","2018-10-08","79"
"47037","tennessee","davidson","2018-10-15","271"
"47037","tennessee","davidson","2018-10-22","191"
"47037","tennessee","davidson","2018-10-29","130"
"47037","tennessee","davidson","2018-11-05","268"
"47037","tennessee","davidson","2018-11-12","127"
"47037","tennessee","davidson","2018-11-19","200"
"47037","tennessee","davidson","2018-11-26","148"
"47037","tennessee","davidson","2018-12-03","94"
"47037","tennessee","davidson","2018-12-10","203"
"47037","tennessee","davidson","2018-12-17","213"
"47037","tennessee","davidson","2018-12-24","94"
"47037","tennessee","davidson","2018-12-31","509"
"47037","tennessee","davidson","2019-01-07","190"
"47037","tennessee","davidson","2019-01-14","279"
"47037","tennessee","davidson","2019-01-21","237"
"47037","tennessee","davidson","2019-01-28","131"
"47037","tennessee","davidson","2019-02-04","231"
"47037","tennessee","davidson","2019-02-11","191"
"47037","tennessee","davidson","2019-02-18","244"
"47037","tennessee","davidson","2019-02-25","134"
"47037","tennessee","davidson","2019-03-04","217"
"47037","tennessee","davidson","2019-03-11","115"
"47037","tennessee","davidson","2019-03-18","276"
"47037","tennessee","davidson","2019-03-25","136"
"47037","tennessee","davidson","2019-04-01","245"
"47037","tennessee","davidson","2019-04-08","106"
"47037","tennessee","davidson","2019-04-15","211"
"47037","tennessee","davidson","2019-04-22","264"
"47037","tennessee","davidson","2019-04-29","137"
"47037","tennessee","davidson","2019-05-06","236"
"47037","tennessee","davidson","2019-05-13","181"
"47037","tennessee","davidson","2019-05-20","345"
"47037","tennessee","davidson","2019-05-27","116"
"47037","tennessee","davidson","2019-06-03","260"
"47037","tennessee","davidson","2019-06-10","148"
"47037","tennessee","davidson","2019-06-17","264"
"47037","tennessee","davidson","2019-06-24","195"
"47037","tennessee","davidson","2019-07-01","330"
"47037","tennessee","davidson","2019-07-08","103"
"47037","tennessee","davidson","2019-07-15","289"
"47037","tennessee","davidson","2019-07-22","195"
"47037","tennessee","davidson","2019-07-29","146"
"47037","tennessee","davidson","2019-08-05","336"
"47037","tennessee","davidson","2019-08-12","284"
"47037","tennessee","davidson","2019-08-19","248"
"47037","tennessee","davidson","2019-08-26","204"
"47037","tennessee","davidson","2019-09-02","273"
"47037","tennessee","davidson","2019-09-09","156"
"47037","tennessee","davidson","2019-09-16","239"
"47037","tennessee","davidson","2019-09-23","356"
"47037","tennessee","davidson","2019-09-30","310"
"47037","tennessee","davidson","2019-10-07","128"
"47037","tennessee","davidson","2019-10-14","241"
