"fips","state","county","week_start_date","eviction_filings"
"47059","tennessee","greene","2018-06-04","2"
"47059","tennessee","greene","2018-06-11","1"
"47059","tennessee","greene","2018-06-18","7"
"47059","tennessee","greene","2018-06-25","9"
"47059","tennessee","greene","2018-07-02","10"
"47059","tennessee","greene","2018-07-09","5"
"47059","tennessee","greene","2018-07-16","25"
"47059","tennessee","greene","2018-07-23","5"
"47059","tennessee","greene","2018-07-30","5"
"47059","tennessee","greene","2018-08-06","14"
"47059","tennessee","greene","2018-08-13","10"
"47059","tennessee","greene","2018-08-20","15"
"47059","tennessee","greene","2018-08-27","5"
"47059","tennessee","greene","2018-09-03","3"
"47059","tennessee","greene","2018-09-10","9"
"47059","tennessee","greene","2018-09-17","12"
"47059","tennessee","greene","2018-09-24","10"
"47059","tennessee","greene","2018-10-01","6"
"47059","tennessee","greene","2018-10-08","2"
"47059","tennessee","greene","2018-10-15","6"
"47059","tennessee","greene","2018-10-22","12"
"47059","tennessee","greene","2018-10-29","7"
"47059","tennessee","greene","2018-11-05","3"
"47059","tennessee","greene","2018-11-12","2"
"47059","tennessee","greene","2018-11-19","4"
"47059","tennessee","greene","2018-11-26","9"
"47059","tennessee","greene","2018-12-03","5"
"47059","tennessee","greene","2018-12-10","3"
"47059","tennessee","greene","2018-12-17","6"
"47059","tennessee","greene","2018-12-24","3"
"47059","tennessee","greene","2018-12-31","15"
"47059","tennessee","greene","2019-01-07","4"
"47059","tennessee","greene","2019-01-14","11"
"47059","tennessee","greene","2019-01-21","6"
"47059","tennessee","greene","2019-01-28","5"
"47059","tennessee","greene","2019-02-04","6"
"47059","tennessee","greene","2019-02-11","12"
"47059","tennessee","greene","2019-02-18","3"
"47059","tennessee","greene","2019-02-25","3"
"47059","tennessee","greene","2019-03-04","1"
"47059","tennessee","greene","2019-03-11","5"
"47059","tennessee","greene","2019-03-18","9"
"47059","tennessee","greene","2019-03-25","4"
"47059","tennessee","greene","2019-04-01","2"
"47059","tennessee","greene","2019-04-08","4"
"47059","tennessee","greene","2019-04-15","3"
"47059","tennessee","greene","2019-04-22","6"
"47059","tennessee","greene","2019-04-29","1"
"47059","tennessee","greene","2019-05-06","3"
"47059","tennessee","greene","2019-05-13","10"
"47059","tennessee","greene","2019-05-20","4"
"47059","tennessee","greene","2019-05-27","3"
"47059","tennessee","greene","2019-06-03","8"
"47059","tennessee","greene","2019-06-10","4"
"47059","tennessee","greene","2019-06-17","15"
"47059","tennessee","greene","2019-06-24","2"
"47059","tennessee","greene","2019-07-01","1"
"47059","tennessee","greene","2019-07-08","7"
"47059","tennessee","greene","2019-07-15","4"
"47059","tennessee","greene","2019-07-22","19"
"47059","tennessee","greene","2019-07-29","9"
"47059","tennessee","greene","2019-08-05","3"
"47059","tennessee","greene","2019-08-12","11"
"47059","tennessee","greene","2019-08-19","8"
